zip-code,rebate-usd,lat,lng,median-household-income,mean-household-income,population
72568,100,35.5768598,-91.6178011,36908,51974,1662
72135,100,34.8576632,-92.5594214,61113,81766,2623
94556,50,37.8357202,-122.1178261,123448,158748,15229
97621,75,42.4762117,-121.2464384,33743,40395,368
75006,156,32.9678449,-96.8887202,56081,68458,46364
8741,90,39.937763,-74.1680347,75058,86598,2354
66224,100,38.8646537,-94.6347041,121386,159537,11917
60151,80,41.9306893,-88.5758574,77816,82849,4061
27831,100,36.4613032,-77.5504779,28349,36792,4072
91915,63,32.6277588,-116.9499191,98625,106287,24659
54447,88,45.0750281,-90.7263271,42083,52330,498
72021,100,34.8345178,-91.1929114,26305,35388,4348
88230,100,33.2423538,-104.4024704,41884,47374,5058
48741,78,43.4155549,-83.1863358,41860,50571,2109
50450,88,43.4104459,-93.5205641,45147,54622,2897
77423,156,29.8166771,-95.9621106,41764,53808,9385
72863,100,35.3625061,-93.4801349,40290,47671,1582
18231,100,40.9004475,-76.0047358,46404,55843,509
15005,100,40.6508973,-80.1763467,63009,80675,9629
50171,88,41.614001,-92.4999918,53403,63595,2923
66514,100,39.1398962,-96.8565427,71481,81264,1657
44627,69,40.6504107,-81.8442934,50025,63121,5878
38651,100,34.8955106,-90.0466559,68657,78873,5747
66212,100,38.946393,-94.6760395,55504,64736,32096
14616,88,43.2306445,-77.6478852,49118,55256,28383
1373,100,42.4657318,-72.6269437,61438,76643,4618
54123,88,44.2124599,-88.1442124,55455,61317,238
27843,100,36.0409357,-77.4128193,26440,35165,1331
43812,69,40.2892965,-81.8879884,36509,47452,19654
94158,50,37.7748363,-122.3872576,104684,131829,4792
72454,100,36.4146125,-90.2057108,28863,45880,5127
80236,100,39.6478446,-105.0411298,47703,57260,16123
37915,90,35.9723339,-83.8950042,11160,18409,5647
83676,100,43.6699179,-116.9110111,43392,53398,4347
19122,100,39.9795244,-75.145782,18175,31399,19653
31066,95,32.7775913,-83.9955879,23843,51810,1147
49894,80,45.7834505,-87.0721818,38098,50832,737
74081,100,36.1876628,-96.4396888,42998,49739,1728
6076,100,41.9963618,-72.2600655,67166,71919,12659
40510,100,38.0765476,-84.5955732,87847,90408,1928
62518,100,40.0399791,-89.189643,58188,66952,457
3242,100,43.1806781,-71.8334145,73472,79535,4444
24460,100,37.9900677,-79.6951103,50589,51635,1530
95521,50,40.8805372,-124.0874754,36385,50934,20199
7508,90,40.9567531,-74.1885825,76790,86820,22017
31510,95,31.5412085,-82.4319405,33926,45825,9848
63050,58,38.2518653,-90.5825359,61664,68657,15716
60957,100,40.4368639,-88.148657,47219,56144,5615
45323,88,39.8487314,-83.9373754,51708,61295,5293
48152,83,42.4279422,-83.3682539,74356,84527,32269
8554,90,40.1163333,-74.7775938,77706,83634,3648
31711,95,32.1971001,-84.1224036,35759,43011,867
26676,100,38.1755167,-80.6548882,37846,49442,435
16860,100,40.946854,-78.1735438,43831,52302,418
73724,100,36.0567173,-98.6820636,36291,54212,1217
24066,100,37.5465478,-79.6726632,45866,56273,4883
21030,90,39.5116069,-76.6990172,67353,87379,22416
14781,60,42.1747399,-79.582819,41194,49415,2144
10303,92,40.6311444,-74.1739057,54758,66353,22842
70656,100,30.936304,-92.9362448,40573,49135,4023
11963,83,41.0092107,-72.3015121,91016,156503,6644
85704,63,32.3395031,-110.9864294,55657,75966,30929
56756,100,48.8874217,-95.5576678,48406,56626,866
92660,83,33.6301328,-117.8721676,104753,163087,34797
71417,100,31.5327317,-92.6387795,36228,48739,4932
62882,100,38.6286632,-89.1134166,34653,44398,2331
48820,87,42.8722569,-84.5850997,70742,83688,14259
19140,100,40.012545,-75.1487007,22411,30728,57613
19962,100,39.0596771,-75.4927278,65618,74618,10206
78578,156,26.0579162,-97.2976617,33081,47450,12516
4263,100,44.2799306,-70.1342713,51429,58227,2002
